ID,L1,L2,Query,Answer,Image,A-1 Scene Domain (Level 1),A-1 Subcategory (Code + Name),A-2 Layout Structure,A-2 Imaging Method,A-2 Font and Text Form,A-2 Geometry and Arrangement,A-2 Image Quality,A-2 Lighting and Screen,A-2 Natural Interference,A-2 Adversarial / Misleading Factors,A-2 Language,A-2 Mixed Layout,Scene Category,A-1 Subcategory_Merged,A-1 Subcategory_Merged 10 Classes
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_014.jpg,,,11--Construction_Sign_014.jpg,Scene Text,T05 Parking / Traffic Restriction / Construction / Control Signs,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_015.jpg,,,12--Construction_Sign_015.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_017.jpg,,,13--Construction_Sign_017.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Ticket Overlap / Multiple Receipts Stacked,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_019.jpg,,,14--Construction_Sign_019.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_020.jpg,,,15--Construction_Sign_020.jpg,Scene Text,T05 Parking / Traffic Restriction / Construction / Control Signs,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Ticket Overlap / Multiple Receipts Stacked,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_031.jpg,,,16--Construction_Sign_031.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Multi-direction Layout / Vertical Text,Clear,No Issue,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_035.jpg,,,17--Construction_Sign_035.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Horizontal Layout,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_036.jpg,,,18--Construction_Sign_036.jpg,Scene Text,T05 Parking / Traffic Restriction / Construction / Control Signs,Tables,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/Info_Board_001.jpg,,,19--Info_Board_001.jpg,Documents & Office,D12 Forms / Applications / Questionnaires,Tables,Photo,Printed Text,Horizontal Layout,Clear,Reflection / Highlight Obstruction,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D12 Forms / Applications / Questionnaires,5-Forms & Personal Records
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/Info_Board_009.jpg,,,20--Info_Board_009.jpg,Documents & Office,D12 Forms / Applications / Questionnaires,Tables,Photo,Printed Text,Horizontal Layout,Clear,No Issue,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Same-line Mixed Layout,,D12 Forms / Applications / Questionnaires,5-Forms & Personal Records
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/Info_Board_010.jpg,,,21--Info_Board_010.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Multi-direction Layout / Vertical Text,Clear,No Issue,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/Info_Board_014.jpg,,,22--Info_Board_014.jpg,Documents & Office,D12 Forms / Applications / Questionnaires,Tables,Photo,Printed Text,Horizontal Layout,Clear,Reflection / Highlight Obstruction,Watermark Overlay,No Interference,East Asian Text,Same-line Mixed Layout,,D12 Forms / Applications / Questionnaires,5-Forms & Personal Records
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/Info_Board_015.jpg,,,23--Info_Board_015.jpg,Documents & Office,T03 Banners / Temporary Posted Notices,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,Reflection / Highlight Obstruction,Ticket Overlap / Multiple Receipts Stacked,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/Info_Board_018.jpg,,,24--Info_Board_018.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,Reflection / Highlight Obstruction,Ticket Overlap / Multiple Receipts Stacked,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/Info_Board_022.jpg,,,25--Info_Board_022.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Horizontal Layout,Clear,Reflection / Highlight Obstruction,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/Info_Board_023.jpg,,,26--Info_Board_023.jpg,Documents & Office,D17 Financial Statements / Statistical Reports,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,Reflection / Highlight Obstruction,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D17 Financial Statements / Statistical Reports,2-Reports & Memos
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/0_0.jpg,,,27--0_0.jpg,Documents & Office,D17 Financial Statements / Statistical Reports,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,Reflection / Highlight Obstruction,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),Distracting Text Injection,East Asian Text,Same-line Mixed Layout,,D17 Financial Statements / Statistical Reports,2-Reports & Memos
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/1_1.jpg,,,28--1_1.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/10_10.jpg,,,29--10_10.jpg,Documents & Office,D04 News / Journals / Magazines / Newspaper Interior Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Blurry (Motion / Defocus),Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D04 News / Journals / Magazines / Newspaper Interior Pages,3-Marketing & Editorial
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/11_11.jpg,,,30--11_11.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,Moire / Refresh Bands (Screen Capture),No Issue,Distracting Text Injection,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/12_12.jpg,,,31--12_12.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Mixed Text and Images,Photo,Printed Text,Horizontal Layout,Clear,Shadows / Overexposure / Underexposure,No Issue,Distracting Text Injection,East Asian Text,Annotation-style Mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/13_13.jpg,,,32--13_13.jpg,Documents & Office,D09 Official Documents / Notices / Announcements / Letters,Paragraphs,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,Stamp Overlay,No Interference,East Asian Text,Non-mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/14_14.jpg,,,33--14_14.jpg,Documents & Office,D03 Reports / White Papers / Research Report Pages,Tables,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D03 Reports / White Papers / Research Report Pages,2-Reports & Memos
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/15_15.jpg,,,34--15_15.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/16_16.jpg,,,35--16_16.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,Shadows / Overexposure / Underexposure,Watermark Overlay,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/17_17.jpg,,,36--17_17.jpg,Documents & Office,D05 Instructions / Operation Manuals / Guide Pages,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D05 Instructions / Operation Manuals / Guide Pages,1-Books & Academic
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/18_18.jpg,,,37--18_18.jpg,Documents & Office,D03 Reports / White Papers / Research Report Pages,Tables,Photo,Printed Text,Obvious Perspective Distortion,Low Resolution,No Issue,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D03 Reports / White Papers / Research Report Pages,2-Reports & Memos
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/19_19.jpg,,,38--19_19.jpg,Documents & Office,D17 Financial Statements / Statistical Reports,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Same-line Mixed Layout,,D17 Financial Statements / Statistical Reports,2-Reports & Memos
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/2_2.jpg,,,39--2_2.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/20_20.jpg,,,40--20_20.jpg,Documents & Office,D17 Financial Statements / Statistical Reports,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Non-mixed Layout,,D17 Financial Statements / Statistical Reports,2-Reports & Memos
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/21_21.jpg,,,41--21_21.jpg,Documents & Office,D17 Financial Statements / Statistical Reports,Tables,Photo,Printed Text,Obvious Perspective Distortion,Blurry (Motion / Defocus),No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D17 Financial Statements / Statistical Reports,2-Reports & Memos
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/22_22.jpg,,,42--22_22.jpg,Documents & Office,D01 Books / Textbooks / Handout Pages,Paragraphs,Photo,Printed Text,Obvious Perspective Distortion,Blurry (Motion / Defocus),Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D01 Books / Textbooks / Handout Pages,1-Books & Academic
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/23_23.jpg,,,43--23_23.jpg,Documents & Office,D01 Books / Textbooks / Handout Pages,Mixed Text and Images,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Non-mixed Layout,,D01 Books / Textbooks / Handout Pages,1-Books & Academic
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/24_24.jpg,,,44--24_24.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Tables,Photo,Printed Text,Horizontal Layout,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/25_25.jpg,,,45--25_25.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Blurry (Motion / Defocus),Shadows / Overexposure / Underexposure,No Issue,Distracting Text Injection,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/26_26.jpg,,,46--26_26.jpg,Documents & Office,D05 Instructions / Operation Manuals / Guide Pages,Mixed Text and Images,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,Watermark Overlay,No Interference,East Asian Text,Non-mixed Layout,,D05 Instructions / Operation Manuals / Guide Pages,1-Books & Academic
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/27_27.jpg,,,47--27_27.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/28_28.jpg,,,48--28_28.jpg,Documents & Office,D01 Books / Textbooks / Handout Pages,Paragraphs,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Non-mixed Layout,,D01 Books / Textbooks / Handout Pages,1-Books & Academic
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/29_29.jpg,,,49--29_29.jpg,Documents & Office,D15 Certificates / Awards / Proof Documents / Vouchers,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Stamp Overlay,No Interference,East Asian Text,Non-mixed Layout,,D15 Certificates / Awards / Proof Documents / Vouchers,7-Certificates & Medical
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/3_3.jpg,,,50--3_3.jpg,Documents & Office,D01 Books / Textbooks / Handout Pages,Paragraphs,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D01 Books / Textbooks / Handout Pages,1-Books & Academic
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/30_30.jpg,,,51--30_30.jpg,Documents & Office,D14 Bills / Statements / Transaction Records / Itemized Lists,Tables,Photo,Printed Text,Horizontal Layout,Clear,No Issue,Watermark Overlay,Distracting Text Injection,East Asian Text,Same-line Mixed Layout,,D14 Bills / Statements / Transaction Records / Itemized Lists,6-Receipts & Transactions
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/31_31.jpg,,,52--31_31.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Obvious Perspective Distortion,Blurry (Motion / Defocus),Shadows / Overexposure / Underexposure,No Issue,Distracting Text Injection,East Asian Text,Annotation-style Mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/32_32.jpg,,,53--32_32.jpg,Documents & Office,D03 Reports / White Papers / Research Report Pages,Mixed Text and Images,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D03 Reports / White Papers / Research Report Pages,2-Reports & Memos
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/33_33.jpg,,,54--33_33.jpg,Documents & Office,D17 Financial Statements / Statistical Reports,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Stamp Overlay,Distracting Text Injection,East Asian Text,Same-line Mixed Layout,,D17 Financial Statements / Statistical Reports,2-Reports & Memos
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/34_34.jpg,,,55--34_34.jpg,Documents & Office,D03 Reports / White Papers / Research Report Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D03 Reports / White Papers / Research Report Pages,2-Reports & Memos
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/35_35.jpg,,,56--35_35.jpg,Documents & Office,D09 Official Documents / Notices / Announcements / Letters,Paragraphs,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/36_36.jpg,,,57--36_36.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/37_37.jpg,,,58--37_37.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_chn_75/38_38.jpg,,,59--38_38.jpg,Documents & Office,D02 Academic Papers / Thesis Pages,Paragraphs,Photo,Printed Text,Dense Small Text / Very Long Lines,Clear,No Issue,No Issue,Distracting Text Injection,East Asian Text,Same-line Mixed Layout,,D02 Academic Papers / Thesis Pages,1-Books & Academic
